created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Fri Oct 20 10:20:58 +0000 2023,1715312145053946160,Presiden ke  RI Susilo Bambang Yudhoyono SBY dan Presiden ke  Megawati Soekarnoputri BersamaPrabowo MenataMasaDepan Prabowo Subianto,0,1,0,0,in,1615709518142517248,1715312130646569200,dulbedul911,https://twitter.com/dulbedul911/status/1715312145053946160
Fri Oct 20 10:20:07 +0000 2023,1715311928770482613,Pap udah selesai  Kenapa  Waslap Oh oke masuk kamar bukain celana dan baju Keluar gih sana lu gak ada bantuin bantuinnya Lah lu aja belum ngomong apa apaan lagi kadal,0,0,0,0,in,743694930267123712,1715311928770482613,bambangrjl,https://twitter.com/bambangrjl/status/1715311928770482613
Fri Oct 20 10:19:31 +0000 2023,1715311779709067371,Betul sekali mustahil warga NU berkoalisi dgn kelompok intoleran,0,0,0,0,in,1505191452540047364,1715311779709067371,Bambang07700762,https://twitter.com/Bambang07700762/status/1715311779709067371
Fri Oct 20 10:18:41 +0000 2023,1715311566651080777,noncoffeeaja Ganteng pisan,0,0,0,0,in,1413615939354906625,1715032565923590559,Bambang18055179,https://twitter.com/Bambang18055179/status/1715311566651080777
Fri Oct 20 10:16:09 +0000 2023,1715310930358370431, tahun jadi gubernur Jakarta aja nggak ada karyanya ygtanpa masalah dan kelebihan bayar apanya yg cerdas Ngomongnya dan narasinya aja,0,0,0,0,in,1505191452540047364,1715310930358370431,Bambang07700762,https://twitter.com/Bambang07700762/status/1715310930358370431
Fri Oct 20 10:12:08 +0000 2023,1715309921510846652,hasyimmah Wise ,0,0,0,0,en,792623538242883584,1715261527769649538,haryantopw,https://twitter.com/haryantopw/status/1715309921510846652
Fri Oct 20 10:12:06 +0000 2023,1715309912140796287,Jakarta  Presiden RI ke Susilo Bambang Yudhoyono SBY menghadiri perayaan HUT ke TNI di Monas Jakarta BersamaPrabowo MenataMasaDepan Prabowo Subianto,0,1,0,0,in,1615702522496430080,1715309906604253335,arakarakan69,https://twitter.com/arakarakan69/status/1715309912140796287
Fri Oct 20 10:11:22 +0000 2023,1715309729130721427,islah_bahrawi Bunga_JyKesuma Apakah yg Merubah aturan itu Bapak Jokowi  Ataukah Gibran   Kalau blum Yakin  Tdk Perlu di JAWAB Cak ,0,0,0,0,in,792623538242883584,1715262101646917910,haryantopw,https://twitter.com/haryantopw/status/1715309729130721427
Fri Oct 20 10:10:24 +0000 2023,1715309483424186688,ini salah penafsiran ya memang ada disebutkan bahwa tidak akan ada keakhiran dunia sblm kaum yang memerangi muslim jatuh tpi gagini juga bambang maksudnya bisa aja kiamat makin dekat klo israel kalah tpi bukan brarti  hari langsung kiamat,0,0,0,0,in,1671140348712849408,1715309483424186688,itsriasgalaxy,https://twitter.com/itsriasgalaxy/status/1715309483424186688
Fri Oct 20 10:10:15 +0000 2023,1715309447109857612,Dengan semangat yang tinggi keduanya membangun kolaborasi demi kemajuan bersama _WLLAM  Kawal Terus GanjarMahfud MD httpstcoppLAAcLmo,0,0,0,0,in,1691011065872896001,1715309447109857612,bambangwijaya71,https://twitter.com/bambangwijaya71/status/1715309447109857612
Fri Oct 20 10:08:04 +0000 2023,1715308896259297669,OKTAECL Di reply bambang jangan di qrt gak masuk dong itu Capek banget ,0,1,0,0,in,1414048250328326161,1715308144778506464,ISASTAYCE,https://twitter.com/ISASTAYCE/status/1715308896259297669
Fri Oct 20 10:06:43 +0000 2023,1715308555249795377,KiCebongMachine Santai Kawan Kita tanggapi dgn Santai  Harap Maklum Sakitt hati mrk dah Parah Atau Bayarannya smakin Mrekah  httpstcoqdnHLFRFbx,0,0,0,0,in,792623538242883584,1715250732000231567,haryantopw,https://twitter.com/haryantopw/status/1715308555249795377
Fri Oct 20 10:06:14 +0000 2023,1715308436056166653,Bambang_Budimab Harry aniesbaswedan Yak setujuu puji tuhan yang ikut  kandidat pilpres tahun depan ini semuanya WNI asli yang  sudah mendaftar tinggal nunggu  kandidat lagi ,0,0,0,0,in,1680536770352660480,1715246473984561487,sayangcilyn,https://twitter.com/sayangcilyn/status/1715308436056166653
Fri Oct 20 10:06:02 +0000 2023,1715308384436760790,jsdailydose seonghyeongjun YA LU EMG KAGA BAMBANG,0,0,0,0,in,1128670548,1715247762089103851,jeeloeise,https://twitter.com/jeeloeise/status/1715308384436760790
Fri Oct 20 10:05:59 +0000 2023,1715308373456179277,capek ketawa liat kelakuan bambang sugeni bawa motor  ,0,0,0,0,in,1141734882,1715308373456179277,mellynt_,https://twitter.com/mellynt_/status/1715308373456179277
